bioguide_id,name,state,district,party,fec_ids
C001114,John R. Curtis,UT,,R,H8UT03238
W000805,Mark R. Warner,VA,,D,"S6VA00093,P80003023"
K000384,Tim Kaine,VA,,D,S2VA00142
S000033,Bernard Sanders,VT,,I,"H8VT01016,S4VT00033"
W000800,Peter Welch,VT,,D,"H6VT00160,H8VT00034"
C000127,Maria Cantwell,WA,,D,"S8WA00194,H2WA01054"
M001111,Patty Murray,WA,,D,S2WA00189
B001230,Tammy Baldwin,WI,,D,"H8WI00018,S2WI00219"
J000293,Ron Johnson,WI,,R,S0WI00197
C001047,Shelley Moore Capito,WV,,R,"H0WV02138,S4WV00159"
J000312,James C. Justice,WV,,R,S4WV00332
B001261,John Barrasso,WY,,R,S6WY00068
L000571,Cynthia M. Lummis,WY,,R,"H8WY00148,S0WY00137"
