bioguide_id,name,state,district,party,fec_ids
G000558,Brett Guthrie,KY,2,R,H8KY02031
M001220,Morgan McGarvey,KY,3,D,H2KY03206
M001184,Thomas Massie,KY,4,R,H2KY04121
R000395,Harold Rogers,KY,5,R,H0KY05015
B001282,Andy Barr,KY,6,R,H0KY06104
S001176,Steve Scalise,LA,1,R,H0LA01087
C001125,Troy A. Carter,LA,2,D,H2LA02149
H001077,Clay Higgins,LA,3,R,H6LA03148
J000299,Mike Johnson,LA,4,R,H6LA04138
L000595,Julia Letlow,LA,5,R,H2LA05126
F000110,Cleo Fields,LA,6,D,
N000015,Richard E. Neal,MA,1,D,H8MA02041
M000312,James P. McGovern,MA,2,D,H4MA03022
T000482,Lori Trahan,MA,3,D,H8MA03106
A000148,Jake Auchincloss,MA,4,D,H0MA04192
C001101,Katherine M. Clark,MA,5,D,H4MA05084
M001196,Seth Moulton,MA,6,D,H4MA06090
P000617,Ayanna Pressley,MA,7,D,H8MA07032
L000562,Stephen F. Lynch,MA,8,D,"H2MA09072,S0MA00083"
K000375,William R. Keating,MA,9,D,H0MA10082
H001052,Andy Harris,MD,1,R,H8MD01094
O000176,"Johnny Olszewski, Jr.",MD,2,D,H4MD02232
E000301,Sarah Elfreth,MD,3,D,H4MD03156
I000058,Glenn Ivey,MD,4,D,H2MD04315
H000874,Steny H. Hoyer,MD,5,D,H2MD05155
M001232,April McClain Delaney,MD,6,D,H4MD06340
M000687,Kweisi Mfume,MD,7,D,"S6MD03185,H6MD07020,H0MD07114"
R000606,Jamie Raskin,MD,8,D,H6MD08457
P000597,Chellie Pingree,ME,1,D,"H8ME01120,S0ME00038"
G000592,Jared F. Golden,ME,2,D,H8ME02185
B001301,Jack Bergman,MI,1,R,H6MI01226
M001194,John R. Moolenaar,MI,2,R,H4MI04126
S001221,Hillary J. Scholten,MI,3,D,H0MI03316
H001058,Bill Huizenga,MI,4,R,H0MI02094
W000798,Tim Walberg,MI,5,R,H4MI07103
D000624,Debbie Dingell,MI,6,D,H4MI12079
B001321,Tom Barrett,MI,7,R,H2MI07123
M001237,Kristen McDonald Rivet,MI,8,D,H4MI08218
M001136,Lisa C. McClain,MI,9,R,H0MI10287
J000307,John James,MI,10,R,H2MI10150
S001215,Haley M. Stevens,MI,11,D,H8MI11254
T000481,Rashida Tlaib,MI,12,D,H8MI13250
T000488,Shri Thanedar,MI,13,D,H2MI13204
F000475,Brad Finstad,MN,1,R,H2MN01223
C001119,Angie Craig,MN,2,D,H6MN02131
M001234,Kelly Morrison,MN,3,D,H4MN03118
M001143,Betty McCollum,MN,4,D,H0MN04049
O000173,Ilhan Omar,MN,5,D,H8MN05239
